State,Year,Coal,Natural gas,Petroleum,Nuclear,Total renewable energy,TotalEnergy,PercentRenewable,PercentNonRenewable
DC,1977,3991,26212,84100,0,158,114461,0.13803828378224897,99.86196171621775
DE,1977,17713,16261,189670,0,10161,233805,4.34592930005774,95.65407069994225
FL,1977,159934,315950,1502009,189076,58246,2225215,2.617544821511629,97.38245517848837
GA,1977,415733,271811,757522,39985,107806,1592857,6.768090293102269,93.23190970689774
HI,1977,0,0,231980,0,752,232732,0.32311843665675544,99.67688156334324
IA,1977,185141,281367,417143,31102,11612,926365,1.2535015895462371,98.74649841045377
ID,1977,12102,48269,134913,0,38568,233852,16.492482424781485,83.50751757521851
IL,1977,860555,1199778,1711734,307424,50404,4129895,1.22046686416967,98.77953313583033
IN,1977,1109953,394286,910868,0,36144,2451251,1.4745124020347162,98.52548759796528
KS,1977,89517,497279,408962,0,6831,1002589,0.6813360210415235,99.31866397895848
KY,1977,613466,221936,478067,0,40872,1354341,3.017851486442484,96.98214851355752
LA,1977,1774,2274100,1605874,0,46692,3928440,1.188563399211901,98.8114366007881
MA,1977,4008,161465,1195175,39571,60390,1460609,4.13457674161942,95.86542325838057
MD,1977,189728,135168,617684,117181,45399,1105160,4.107911976546382,95.89208802345362
ME,1977,603,2047,263043,55386,51373,372452,13.79318677306069,86.2068132269393
MI,1977,692982,745743,1170987,110182,48180,2768074,1.7405604040932432,98.25943959590676
MN,1977,264929,292501,584823,120211,32020,1294484,2.4735724813902684,97.52642751860974
MO,1977,503909,367704,667599,0,34792,1574004,2.2104136965344434,97.78958630346555
MS,1977,38658,202631,477480,0,36230,754999,4.798681852558745,95.20131814744126
MT,1977,57814,71595,163936,0,37918,331263,11.44649417532293,88.55350582467707
NC,1977,548103,73905,754860,60997,109436,1547301,7.072702725584744,92.92729727441525
ND,1977,107264,37650,115140,0,7331,267385,2.741739439385156,97.25826056061484
NE,1977,59344,188426,231193,80249,7563,566775,1.3343919544792908,98.66560804552071
NH,1977,26470,7617,158532,0,21410,214029,10.003317307467679,89.99668269253232
NJ,1977,71011,255522,1365149,74941,39684,1806307,2.1969687323361975,97.8030312676638
NM,1977,153922,242912,212605,0,7131,616570,1.1565596769223283,98.84344032307767
NV,1977,115938,74534,127198,0,7025,324695,2.163568887725404,97.8364311122746
NY,1977,336851,567877,2762674,221730,161823,4050955,3.9946876724130482,96.00531232758695
OH,1977,1669162,867837,1350669,5039,58541,3951248,1.4815825278494288,98.51841747215057
OK,1977,12381,787694,457902,0,20457,1278434,1.6001608217553662,98.39983917824463
OR,1977,5223,75567,338296,69916,156515,645517,24.246456716089583,75.75354328391042
PA,1977,1577975,682372,1716994,191913,75860,4245114,1.786995590695562,98.21300440930443
RI,1977,117,25964,143166,0,5270,174517,3.0197631176332393,96.98023688236677
SC,1977,189564,141633,418568,185645,59462,994872,5.976849283123859,94.02315071687615
